ID,Datetime,Count
0,25 Aug 2012 ,8
1,25 Aug 2012 ,2
2,25 Aug 2012 ,6
3,25 Aug 2012 ,2
4,25 Aug 2012 ,2
5,25 Aug 2012 ,2
6,25 Aug 2012 ,2
7,25 Aug 2012 ,2
8,25 Aug 2012 ,6
9,25 Aug 2012 ,2
10,25 Aug 2012 ,2
11,25 Aug 2012 ,6
12,25 Aug 2012 ,4
13,25 Aug 2012 ,2
14,25 Aug 2012 ,6
15,25 Aug 2012 ,2
16,25 Aug 2012 ,2
17,25 Aug 2012 ,2
18,25 Aug 2012 ,2
19,25 Aug 2012 ,2
20,25 Aug 2012 ,2
21,25 Aug 2012 ,6
22,25 Aug 2012 ,2
23,25 Aug 2012 ,2
24,26 Aug 2012 ,4
25,26 Aug 2012 ,6
26,26 Aug 2012 ,2
27,26 Aug 2012 ,4
28,26 Aug 2012 ,2
29,26 Aug 2012 ,2
30,26 Aug 2012 ,2
31,26 Aug 2012 ,2
32,26 Aug 2012 ,2
33,26 Aug 2012 ,4
34,26 Aug 2012 ,2
35,26 Aug 2012 ,2
36,26 Aug 2012 ,8
37,26 Aug 2012 ,6
38,26 Aug 2012 ,6
39,26 Aug 2012 ,6
40,26 Aug 2012 ,2
41,26 Aug 2012 ,4
42,26 Aug 2012 ,4
43,26 Aug 2012 ,4
44,26 Aug 2012 ,2
45,26 Aug 2012 ,2
46,26 Aug 2012 ,4
47,26 Aug 2012 ,6
48,27 Aug 2012 ,6
49,27 Aug 2012 ,2
50,27 Aug 2012 ,2
51,27 Aug 2012 ,2
52,27 Aug 2012 ,2
53,27 Aug 2012 ,2
54,27 Aug 2012 ,4
55,27 Aug 2012 ,2
56,27 Aug 2012 ,2
57,27 Aug 2012 ,2
58,27 Aug 2012 ,2
59,27 Aug 2012 ,2
60,27 Aug 2012 ,2
61,27 Aug 2012 ,2
62,27 Aug 2012 ,2
63,27 Aug 2012 ,4
64,27 Aug 2012 ,2
65,27 Aug 2012 ,2
66,27 Aug 2012 ,4
67,27 Aug 2012 ,2
68,27 Aug 2012 ,4
69,27 Aug 2012 ,2
70,27 Aug 2012 ,2
71,27 Aug 2012 ,4
72,28 Aug 2012 ,2
73,28 Aug 2012 ,2
74,28 Aug 2012 ,2
75,28 Aug 2012 ,2
76,28 Aug 2012 ,2
77,28 Aug 2012 ,2
78,28 Aug 2012 ,2
79,28 Aug 2012 ,2
80,28 Aug 2012 ,4
81,28 Aug 2012 ,4
82,28 Aug 2012 ,2
83,28 Aug 2012 ,2
84,28 Aug 2012 ,2
85,28 Aug 2012 ,2
86,28 Aug 2012 ,2
87,28 Aug 2012 ,2
88,28 Aug 2012 ,2
89,28 Aug 2012 ,4
90,28 Aug 2012 ,2
91,28 Aug 2012 ,2
92,28 Aug 2012 ,2
93,28 Aug 2012 ,4
94,28 Aug 2012 ,4
95,28 Aug 2012 ,2
96,29 Aug 2012 ,4
97,29 Aug 2012 ,6
98,29 Aug 2012 ,2
99,29 Aug 2012 ,2
100,29 Aug 2012 ,2
101,29 Aug 2012 ,2
102,29 Aug 2012 ,2
103,29 Aug 2012 ,2
104,29 Aug 2012 ,2
105,29 Aug 2012 ,2
106,29 Aug 2012 ,4
107,29 Aug 2012 ,2
108,29 Aug 2012 ,2
109,29 Aug 2012 ,2
110,29 Aug 2012 ,4
111,29 Aug 2012 ,2
112,29 Aug 2012 ,2
113,29 Aug 2012 ,2
114,29 Aug 2012 ,2
115,29 Aug 2012 ,2
116,29 Aug 2012 ,2
117,29 Aug 2012 ,2
118,29 Aug 2012 ,2
119,29 Aug 2012 ,4
120,30 Aug 2012 ,2
121,30 Aug 2012 ,8
122,30 Aug 2012 ,4
123,30 Aug 2012 ,2
124,30 Aug 2012 ,4
125,30 Aug 2012 ,2
126,30 Aug 2012 ,2
127,30 Aug 2012 ,2
128,30 Aug 2012 ,2
129,30 Aug 2012 ,2
130,30 Aug 2012 ,2
131,30 Aug 2012 ,4
132,30 Aug 2012 ,2
133,30 Aug 2012 ,2
134,30 Aug 2012 ,2
135,30 Aug 2012 ,4
136,30 Aug 2012 ,4
137,30 Aug 2012 ,2
138,30 Aug 2012 ,4
139,30 Aug 2012 ,2
140,30 Aug 2012 ,6
141,30 Aug 2012 ,4
142,30 Aug 2012 ,2
143,30 Aug 2012 ,4
144,31 Aug 2012 ,6
145,31 Aug 2012 ,4
146,31 Aug 2012 ,2
147,31 Aug 2012 ,2
148,31 Aug 2012 ,2
149,31 Aug 2012 ,2
150,31 Aug 2012 ,2
151,31 Aug 2012 ,6
152,31 Aug 2012 ,2
153,31 Aug 2012 ,2
154,31 Aug 2012 ,4
155,31 Aug 2012 ,2
156,31 Aug 2012 ,2
157,31 Aug 2012 ,4
158,31 Aug 2012 ,4
159,31 Aug 2012 ,2
160,31 Aug 2012 ,2
161,31 Aug 2012 ,2
162,31 Aug 2012 ,2
163,31 Aug 2012 ,4
164,31 Aug 2012 ,4
165,31 Aug 2012 ,2
166,31 Aug 2012 ,4
167,31 Aug 2012 ,10
168,09 Jan 2012 ,8
169,09 Jan 2012 ,4
170,09 Jan 2012 ,4
171,09 Jan 2012 ,2
172,09 Jan 2012 ,2
173,09 Jan 2012 ,2
174,09 Jan 2012 ,4
175,09 Jan 2012 ,4
176,09 Jan 2012 ,2
177,09 Jan 2012 ,2
178,09 Jan 2012 ,8
179,09 Jan 2012 ,8
