ID,timestamp,Count
0,1345852800,8
1,1345856400,2
2,1345860000,6
3,1345863600,2
4,1345867200,2
5,1345870800,2
6,1345874400,2
7,1345878000,2
8,1345881600,6
9,1345885200,2
10,1345888800,2
11,1345892400,6
12,1345896000,4
13,1345899600,2
14,1345903200,6
15,1345906800,2
16,1345910400,2
17,1345914000,2
18,1345917600,2
19,1345921200,2
20,1345924800,2
21,1345928400,6
22,1345932000,2
23,1345935600,2
24,1345939200,4
25,1345942800,6
26,1345946400,2
27,1345950000,4
28,1345953600,2
29,1345957200,2
30,1345960800,2
31,1345964400,2
32,1345968000,2
33,1345971600,4
34,1345975200,2
35,1345978800,2
36,1345982400,8
37,1345986000,6
38,1345989600,6
39,1345993200,6
40,1345996800,2
41,1346000400,4
42,1346004000,4
43,1346007600,4
44,1346011200,2
45,1346014800,2
46,1346018400,4
47,1346022000,6
48,1346025600,6
49,1346029200,2
50,1346032800,2
51,1346036400,2
52,1346040000,2
53,1346043600,2
54,1346047200,4
55,1346050800,2
56,1346054400,2
57,1346058000,2
58,1346061600,2
59,1346065200,2
60,1346068800,2
61,1346072400,2
62,1346076000,2
63,1346079600,4
64,1346083200,2
65,1346086800,2
66,1346090400,4
67,1346094000,2
68,1346097600,4
69,1346101200,2
70,1346104800,2
71,1346108400,4
72,1346112000,2
73,1346115600,2
74,1346119200,2
75,1346122800,2
76,1346126400,2
77,1346130000,2
78,1346133600,2
79,1346137200,2
80,1346140800,4
81,1346144400,4
82,1346148000,2
83,1346151600,2
84,1346155200,2
85,1346158800,2
86,1346162400,2
87,1346166000,2
88,1346169600,2
89,1346173200,4
90,1346176800,2
91,1346180400,2
92,1346184000,2
93,1346187600,4
94,1346191200,4
95,1346194800,2
96,1346198400,4
97,1346202000,6
98,1346205600,2
99,1346209200,2
100,1346212800,2
101,1346216400,2
102,1346220000,2
103,1346223600,2
104,1346227200,2
105,1346230800,2
106,1346234400,4
107,1346238000,2
108,1346241600,2
109,1346245200,2
110,1346248800,4
111,1346252400,2
112,1346256000,2
113,1346259600,2
114,1346263200,2
115,1346266800,2
116,1346270400,2
117,1346274000,2
118,1346277600,2
119,1346281200,4
120,1346284800,2
121,1346288400,8
122,1346292000,4
123,1346295600,2
124,1346299200,4
125,1346302800,2
126,1346306400,2
127,1346310000,2
128,1346313600,2
129,1346317200,2
130,1346320800,2
131,1346324400,4
132,1346328000,2
133,1346331600,2
134,1346335200,2
135,1346338800,4
136,1346342400,4
137,1346346000,2
138,1346349600,4
139,1346353200,2
140,1346356800,6
141,1346360400,4
142,1346364000,2
143,1346367600,4
144,1346371200,6
145,1346374800,4
146,1346378400,2
147,1346382000,2
148,1346385600,2
149,1346389200,2
150,1346392800,2
151,1346396400,6
152,1346400000,2
153,1346403600,2
154,1346407200,4
155,1346410800,2
156,1346414400,2
157,1346418000,4
158,1346421600,4
159,1346425200,2
160,1346428800,2
161,1346432400,2
162,1346436000,2
163,1346439600,4
164,1346443200,4
165,1346446800,2
166,1346450400,4
167,1346454000,10
168,1326067200,8
169,1326070800,4
170,1326074400,4
171,1326078000,2
172,1326081600,2
173,1326085200,2
174,1326088800,4
175,1326092400,4
176,1326096000,2
177,1326099600,2
178,1326103200,8
179,1326106800,8
180,1326110400,6
181,1326114000,6
182,1326117600,6
183,1326121200,6
184,1326124800,4
185,1326128400,4
186,1326132000,8
187,1326135600,2
188,1326139200,6
189,1326142800,2
190,1326146400,4
191,1326150000,8
192,1328745600,10
193,1328749200,2
194,1328752800,4
195,1328756400,2
196,1328760000,6
197,1328763600,4
198,1328767200,2
199,1328770800,4
200,1328774400,4
201,1328778000,6
202,1328781600,4
203,1328785200,2
204,1328788800,6
205,1328792400,10
206,1328796000,6
207,1328799600,4
208,1328803200,6
209,1328806800,4
210,1328810400,4
211,1328814000,8
212,1328817600,4
213,1328821200,8
214,1328824800,4
215,1328828400,4
216,1331251200,4
217,1331254800,2
218,1331258400,4
219,1331262000,4
220,1331265600,2
221,1331269200,4
222,1331272800,2
223,1331276400,6
224,1331280000,2
225,1331283600,2
226,1331287200,6
227,1331290800,8
228,1331294400,4
229,1331298000,2
230,1331301600,10
231,1331305200,4
232,1331308800,4
233,1331312400,8
234,1331316000,6
235,1331319600,6
236,1331323200,6
237,1331326800,2
238,1331330400,4
239,1331334000,6
240,1333929600,2
241,1333933200,4
